GeneSymbol,correlation,pvalue
ANKRD45,0.269859060031118,0.211125758374694
ANKRD49,-0.386069442744896,0.879552224753797
ANKRD50,0.728194816106416,0.00552585113159421
ANKRD55,0.243106922512779,0.235664596648752
ANKRD6,0.861017391812047,0.000331868668051444
ANKRD9,0.0444058035796397,0.448425739275276
ANKS1A,0.585172444466192,0.0293002005507778
ANKS1B,0.0661925257193205,0.423337557245192
ANKS3,0.224288562833945,0.253660395807083
ANKS6,0.494996828217305,0.0608062006435962
ANKZF1,0.630526192608332,0.0187722069335663
ANO10,0.641542569174679,0.0166825381625168
ANO3,0.960516743713022,1.33508232596927e-06
ANO5,0.757861016562212,0.00344278695316838
ANP32A-IT1,-0.16616971013819,0.687335199941588
ANP32E,0.680552045342554,0.0105875817540287
ANTXR2,0.869024657141553,0.000257181198039468
ANXA1,-0.352315721376358,0.856026493948723
ANXA11,0.288629347511341,0.194680880689861
ANXA2,0.245992709078331,0.232957405622407
ANXA2P1,-0.0384567897406622,0.544690573554196
ANXA4,0.510024004285622,0.0544893444886808
ANXA5,0.366961647059557,0.133473949562941
ANXA6,0.7685961888359,0.00285496947177977
AOAH,-0.140883968995295,0.660262102461485
AOX1,0.446360499321347,0.084380871061747
AP1G2,0.27304921775345,0.208284864876757
AP1M2,-0.126970400991279,0.645060254383537
AP1S1,0.7534450154882,0.00370862285289565
AP1S2,0.584767544551074,0.0294090162813879
AP2A2,0.521451278299724,0.0499820118616634
AP2B1,0.825276701076791,0.000880286902460749
AP2S1,-0.0403175779194099,0.546844984883121
AP3B2,0.207704942547637,0.269991658586971
AP3D1,0.166632539995191,0.312176450195707
AP3M2,0.15062957086851,0.329214676747714
AP3S1,0.248274090483671,0.230827316522251
AP4E1,0.295446517295734,0.188872017965497
APAF1,0.700793569485427,0.00814830954831125
APBA1,0.767880119577378,0.00289169664548654
APBB1IP,0.583597051463786,0.0297251274060643
APCDD1,0.608883007078125,0.0233956575444562
APEH,-0.11208611215793,0.628585444017571
APITD1,-0.556870864133878,0.96241698998126
APLN,0.648998242141734,0.0153643380310021
APLNR,0.649420706292227,0.0152919086314907
APOA1BP,0.268151609543813,0.212653893372884
APOBEC3F,0.23259848600271,0.245641536776828
APOBEC3G,0.657602239990968,0.0139360844253083
APOC1,0.246012933449238,0.232938483158441
APOC4,0.0191908445538396,0.477669443388116
APOE,0.636687714307623,0.0175822514046231
APOL1,0.288974736805065,0.194384452554182
APOL2,0.740504411526901,0.00457414522292201
APOL6,0.465444232580404,0.0745519609358534
APOLD1,-0.0718937484034228,0.583189129609079
APOM,0.323277199848366,0.166092176957025
APOO,-0.0221945770746912,0.525821969169295
APPBP2,0.178176301985316,0.300085531035308
APRT,-0.169521224613526,0.690865362213504
APTX,0.155412120647929,0.324090388832226
AQP1,0.565167377487229,0.0350102898073945
AQP11,0.136563521406128,0.344436639517272
AQP3,-0.170076980043975,0.691449353573239
AQP4,0.797967923466493,0.00162248802909452
AQP5,-0.00741061956932796,0.508626184574104
AQP9,0.766588039613599,0.00295884444172473
AQR,0.54232255484425,0.0423938412538775
AR,0.860609297614639,0.00033606920677868
ARAP2,0.20916187887312,0.268539821005461
ARAP3,-0.0385524157769869,0.544801315698805
ARF3,0.430982965832188,0.092853360112635
ARHGAP10,0.812118610908905,0.00119605457543961
ARHGAP12,0.497060763915607,0.05991207504007
ARHGAP15,0.152233661295599,0.327492974310149
ARHGAP18,0.633664142065094,0.0181593963878391
ARHGAP19,0.142798692196317,0.33766200741372
ARHGAP20,0.301746485184791,0.183582999081984
ARHGAP25,0.542362076723508,0.0423802470116324
ARHGAP26,0.552538678717271,0.0389753304348687
ARHGAP28,0.834300698655599,0.000703036791316402
ARHGAP29,0.800333375786481,0.0015443784160623
ARHGAP4,0.357583663026135,0.140145782746112
ARHGAP6,0.692455329641487,0.00909806549942323
ARHGAP9,0.707566889258473,0.00743094764452134
ARHGDIA,0.449362662302369,0.0827844802386936
ARHGDIB,0.570480515488431,0.0334264786348293
ARHGDIG,0.662370045800315,0.0131863128479145
ARHGEF10L,0.64695945572724,0.0157172671831889
ARHGEF11,0.5630484420377,0.035655752052093
ARHGEF17,-0.145613806823878,0.66538269051206
ARHGEF18,0.466038440256563,0.074258019023671
ARHGEF19,0.260915502064875,0.219188491540364
ARHGEF2,0.437506756749801,0.0891984685462413
ARHGEF3,0.101759528357672,0.382961259603661
ARHGEF5,0.272559353813317,0.208719888451833
ARHGEF6,0.49870734939794,0.0592048390318197
ARHGEF7,-0.447672774588255,0.91631923949818
ARID3B,0.708748342378471,0.00731064448120042
ARID5A,-0.0987243868706631,0.613628235600579
ARIH2,0.654913582803841,0.0143718915535943
ARL10,0.856869559242624,0.000376457863689659
ARL15,0.697938406449635,0.00846509719636118
ARL2BP,0.578444370259485,0.0311441476370909
ARL4C,0.625591290650796,0.0197648373353782
ARL6IP1,0.442703765650161,0.0863507402605729
ARL6IP5,0.364161882825134,0.135446670662412
ARL8B,0.613122876609731,0.0224340430272227
ARL9,0.443624727078999,0.0858519894868228
ARMC10,-0.0415602330209907,0.548283097067691
ARMC2,0.571081649496167,0.0332503847572391
ARMC3,0.172491366457185,0.306018225675872
ARMC5,0.229825005640885,0.248305355223602
ARMCX1,0.67629199614233,0.0111604789736011
ARMCX2,0.553474045555344,0.0386718468317385
ARMCX4,0.800488743864296,0.00153934766975236
ARNT,0.092105383985924,0.393834147530135
ARNTL,0.645687542051657,0.01594030342534
ARPC2,-0.0609922459628638,0.57069407003352
ARPC5,0.0939764721138902,0.391721289752123
ARPP19,0.893235905129241,0.000106304459243239
ARRB1,0.733378301985833,0.00510913586606269
ARRB2,0.57158404655346,0.0331036954055466
ARRDC4,0.0180156101431857,0.479035882339934
ARSD,0.434514156180639,0.0908639559044992
ARSF,0.21029001204117,0.267417857301207
ARSG,0.32963927531999,0.161099977383536
ARSJ,0.562367074244365,0.0358649932318218
ARSK,0.14613426073995,0.334055382212153
ART3,-0.677790492991078,0.989043491547851
ARVCF,0.350793318347894,0.145090359581686
AS3MT,0.715875392866562,0.00661446224909827
ASAH1,0.540435252568828,0.0430463798988449
ASAH2,0.40153858167791,0.110463721071499
ASAP1-IT1,0.316728152317145,0.171315593357158
ASAP2,0.667060911242248,0.0124769031402794
ASAP3,0.644596594698295,0.016133366511728
ASB1,0.771778147176368,0.00269590122536669
